@relation consultapopular

@attribute 'tweet' string
@attribute 'class' {SI, NO}
@data 

'Diversas voces se pronucian por el SI Les compartimos la agenda de voceros de hoy#ObvioQueS #7VecesS', SI
'Este 4 de Febrero vamos todos juntos a votar #7VecesS y a celebrar esta fiesta electoral donde el nico ganador s  ', SI
'Seguimos #7VecesSi Iniciamos la caravana por el SI est vez desde la parroquia Baos. Nos alegra que la ciudad  ', SI
'@CarlosVerareal Por que de un tiempo ac quieren decir a todo todito NO #VotaTodoS, ', SI
'@DanieLocro Jajajaja si si 7 veces si, ', SI
'@dorissoliz @MashiRafael A TODO DILE SI  Solo un soberbio asnorante votara NO en algo  Todos #7VecesSi  SI SI SI SI SI SI SI , ', SI
'@efrainalban Entonces t estar feliz que el traidor tenga a los Bucaram y Lasso entre sus aliados. Te parece que e  ', NO
'@FernanCabezasG @VamosLenin Por fomemtar la democracia nuestro voto dice #Cuenca7VecesS, ', SI
'@FernanCabezasG @VamosLenin Por fomentar la democracia nuestro voto dice #Cuenca7VecesS, ', SI
'@juankfarez @WWERomanReigns Nooooque hiciste Cena #RoyalRumble, ', NO
'@ppsesa ndate a la verga .....traidor hp, ', NO
'@raulclementelh @MarceloHCabrera Apoyo incondicional al lider del  Movimiento Igualdad 82 Ing. Marcelo Cabrera. Por eso #Cuenca7VecesS, ', SI
'#7VecesSi por un nuevo #Ecuador mi voz y mi voto cuenta.  ', SI
'#7VecesSi por un nuevo #Ecuador mi voz y mi voto cuenta.  ', SI
'#7VecesSi por un nuevo #Ecuador mi voz y mi voto cuenta.  ', SI
'#7VecesSi por un nuevo #Ecuador mi voz y mi voto cuenta.  ', SI
'#AzuayDiceS al cambio al desarrollo y la prosperidad de su gente. El 4 de febrero Ecuador dice #7VecesS  ', SI
'#Cuenca7VecesS  para proteger nuestros pramos nuestro Cajas fuentes del agua vital.  ', SI
'#Cuenca7VecesS para detener de manera definitiva las posibles intervenciones y extractivismo en las reas protegid  ', SI
