@relation consultapopular

@attribute 'tweet' String
@attribute 'class' {SI, NO}
@data 

' #EcuadorDiceNO con alegra   ', NO
'clarito ..No firmamos un cheque en blanco... #7VecesSI  @Lenin  ', SI
'Contamos contigo Este domingo 4 de febrero #EcuadorDiceS con fe y esperanza por el renacer de una nueva Patria.  ', SI
'Felices de estar juntos apoyando el S en la #ConsultaPopular  Este domingo #VotaTodoS #7VecesS  ', SI
'Hoy 7 veces s ctm, ', SI
'La alegra es de todos en este da #7VecesS #SALUDesSAUDE #VotaTodoS  ', SI
'Maana acompaemos a nuestra vicepresidenta @marialevicuna Porque todos votaremos #7VecesS #VotaTodoS  ', SI
'Por un Yasun protegido #VotaTodoS  por la proteccin ambiental de nuestro Ecuador.  #SomosEcuador un pas unido  ', SI
'Por un Yasun protegido #VotaTodoS por la proteccin ambiental de nuestro Ecuador.  #SomosEcuador un pas unido  ', SI
'Te espero en el cierre de campaa #GuayasDiceS Comparto mi agenda en la ciudad de Guayaquil acompaando a nuestr  ', SI
'Todo el Ecuador unido por la Consulta del Pueblo #GuayasDiceS #GuayasconLenin Este 4 de Febrero a votar por un p  ', SI
'Por qu votar NO en las preguntas 236 de la #ConsultaPopular #PorLaPatriaDilesNO #ConsultaPopularEC #DilesNO  ', NO
'.@Lenin Sr. Presidente por cuidar el medio ambiente por fomentar la inversin hacia el ecoturismo #PichinchaDiceS  ', SI
'EN MINUTOS @PaolaPabonC en @RTSEcuador en anlisis sobre consulta popular.#YoVotoNO  ', NO
'URGENTE Ests son las razones por las que renunci el Procurador del Estado Diego Garca.#DilesNO  ', NO
'@DejateLlevar @DavidDeMaria @CadenaDial Ah estaremos escuchndolo desde el otro lado del charco #SiPudiera #DavidDeMaria20Aos , ', SI
'@28marissa @PresidenciaEc @Lenin Yo digo 7 veces si., ', SI
'@amarillox100pr Noooooo auxiliooo quieroo probarlooo, ', NO
'@AngeldebritoOk Noooooo psimo sera que la escojan una vulgar sin trayectoria internacional les recuerdo seores  ', NO
'@CadenaDial #EscuchoDialTalCual Muchas Felicitaciones  @DavidDeMaria Hermoso tema  #SiPudiera  contando los Da p  ', SI
'@CarlaDelgadoR 7 veces no a los traidores le dir la ciudadana en las urnas al cuntico y su gallada, ', NO
'@carlosrojas17 @PresidenciaEc @Lenin Yo digo 7 veces si, ', SI
