@relation consultapopular

@attribute 'tweet' String
@attribute 'class' {SI, NO}
@data 

'Que nadie se crea rey perpetundose en el poderEste 4 de febrero le decimos S #7VecesS a la #ConsultaPopular  ', SI
'No sabes como votar en la Consulta PopularTe cuento el por qu deberas votar S#VotaS  ', SI
'Sabes por qu renunci el procurador Diego Garca Entrate  #DilesNO  ', NO
'.@marialevicuna Espero que cuando vaya a #Votar levante su papeleta ante las cmaras para comprobar que en verdad v  ', SI
'@dichauvin: El gran ganador de toda esta patraa es LarreaNo porque segun el traidor el nico ganador es el pueblo ecuatoriano ja ja, ', NO
'S s s 7 veces sAS CELEBRAN EN CARONDELET LOS RESULTADOS PRELIMINARES QUE DAN EL TRIUNFO AL S EN LA  ', SI
'El pueblo de Ecuador piensa exactamente lo mismo del Licenciado lo califica como un problema heredado #7VecesNO  ', NO
'@35PAIS @ricardozampais Todo NOOOOO traidores ladrones este no es su partido formen uno que se llame Alianza de Traidores, ', NO
'@35PAIS Aydanos a destruirla dira yo y la gran mayora del pueblo Ecuatoriano eso jams vota 7 veces no  ', NO
'@35PAIS hipcritas traidores desleales se olvidan por quin son lo que hoy son el pueblo se levanta en defensa por Rafael, ', NO
'@35PAIS Pero si no hace nada yo dira lo contrario solo se burla de la gente que confo en el ahora votaremos 7 veces no por mentiroso.., ', NO
'@35PAIS Ya dira por el viejo pais para que volvamos ha eso pais vota no y 7 veces no  ', NO
'@alexismoncayo @NoNegligencia @msocialcentrobv @RecuperemosUIO @QuitoVigila @MashiMauri @BastaUIO @pilasmauri  ', NO
'@AlexisSanchezEC No le podemos dar un cheque en blanco a un traidor q luego nos clavar el paquetazo q el ministro  ', NO
'@alvaradorosana @MACAesPAIS Gracioso. Reconocen desde afuera pero el gobierno su presidente y el resto de traidor  ', NO
'@andesecuador . No va ganar mil veces Noooooooooooooooooo, ', NO
'@andesecuador @MCarvajalA .Hay la nena traidora sinvergenza y todo ese tiempo metido en el gobierno ganando sueldo lo que eres es Ladrn, ', NO
'@AndresPellacini Vota como quieras pero a la salida no te olvides de pagar el seguro de tus empleadas.#YoVotoNO, ', NO
'@augustamontalvo @CarlosPaezPerez Seguro un gran candidato es Fernando Carrin. Los paquetes traidores de AP Baroj  ', NO
'@CarlosAMontaner La nica forma de eliminar a los dictadores es con nuestro puo y letra... por eso #7VecesSi, ', SI
'@CarlosPaezPerez Los traidores se defienden entre ellos. Viva el espiritu de cuerpo de la traicion el NOOO les va  ', NO
'@CarlosPaezPerez No vote por Rodas me parece un pesimo alcalde pero Los traidores de AP tambien son unos paquete  ', NO
'@cendemocratico @Lenin L@s quite@s y Ecuatorian@s queremos un mejor pas por eso este 4 de febrero votaremos #7VecesSi, ', SI
'@cendemocratico @MarioEcuador Argumentos claros de porque votar #7VecesS, ', SI
'@construaece Ha estos beneficia la pregunta 6 no te dejes engaar vota no  ', NO
'@decepcionadoec   Ahora el traidor envalentonado pagar a la prensa corrupta con otra consulta para eliminar la Ley De Comunicacin. ASCO, ', NO
'@DefensoresRC @Lenin @LeninistasEC Yo no respaldo a traidores, ', NO
'@echoglenmontes Noooooo ha h aja ha para nada me ha bloqueado de todo te juro que solo le falto Spotify Es joda no nos escribimos, ', NO
'@EdwardCoke Este sinvergenza traidor no merece comparacin alguna Coimandante Ratael, ', NO
'@eluniversocom 7 veces NO...a los traidores y a la prensa corrupta., ', NO
'@fmilhojas @bonilcaricatura @Lenin Caretucos todo el Ecuador votaremos Nooooo y Nooooo, ', NO
'@fmilhojas @bonilcaricatura @Lenin Noooo claro votaremos Noooo, ', NO
'@Gabriela172157 @Lenin @LeninistasEC Segura 7 veces no Se ve que no tienes hijos por que hay una pregunta que prot  ', NO
'@GabrielaEsPais @cnegobec @OEAoficial Nueva rica como usted que ahora come mierda #7VecesSi, ', SI
'@GabrielaEsPais Por la farsa del traidor todo NO  ', NO
'@Iva1779 Nooo que desgracia pero me tengo q reir un poco por que suena un cague el drama haha lo siento, ', NO
'@juancarlosz86 Miiii vemonos el finde en Rio tengo buenas noticias. Chch. #7VecesNO miiii., ', NO
'@KaryEsmeraldas Efectivamente siempre estuvo la cancha inclinada a favor del SI el traidor @LENIN y sus complices  ', NO
'@lahoraecuador @Lenin Yo votar 7 veces no no no no no no Moreno mentiroso y no  ', NO
'@Lenin no son los mismos tira huevos y piedras contratados por ustedes para amedrentarnos a los que apoyamos 7xNooo, ', NO
'@Lenin @35PAIS Digamos no y 7 veces no jams este puede cambiar nada no tiene ni la capacidad tampoco voluntad buen  ', NO
'@Lenin #TodoS a la reactivacin econmica del Ecuador, ', SI
'@Lenin Eres un traidor mentiroso, ', NO
'@Lenin Espero tengas bien puestos los pantalones traidor. Lo q viene desde ahora es lo bueno. , ', NO
'@Lenin Hoy ganas traidor pero ya vers la factura que te llega., ', NO
'@Lenin La consulta popular es una expresin de democracia directa. #PichinchaDiceS, ', SI
'@LeninistasEC @Lenin @VamosLenin @EstoyConLenin @RespaldoALenin @YoTeApoyoLenin @MilitantDigital #VotaTodoS con es  ', SI
'@LeninistasEC Claro este traidor quiere volver al pas de antes de los bucaram los febres cordero los Gutirrez los  ', NO
'@LeninistasEC Con estas ratas Nooooo  ', NO
'@MarioEcuador @jimmyjairala @Lenin @cendemocratico @CdPichincha @frentesomosec Votamos por un cambio votamos por das mejores #7VecesS, ', SI
'@marloncadena @ID12Ecuador Excelente #7VecesS #ClaroQueS, ', SI
'@MashiRafael @CalidadTvRadio Adelante mi presi estamos con ustedy todo votaremos Nooooo, ', NO
'@MashiRafael Cerdos asesinos y estos sinvergenzas son los que nos quieren volver a gobernar. Todo NO NO NO NO NO NO NO, ', NO
'@MashiRafael Si van a hacerle enojar a Correa piensen en las consecuencias. #7VecesNO, ', NO
'@MashiRafael Yo ....mejor no insistira en ms caravanas El #sigana #7VecesSi, ', SI
'@MashiRoberto @navasveracesar @MCarvajalA @alvaradorosana @ppsesa A estos traidores sin principios lo nico q les  ', NO
'@MCarvajalA @Lenin #PichinchaDiceS a la poltica que une pueblos y logra mejoras para todos.  ', SI
'@MCarvajalA @LeninistasEC @PresiDeTodos @MilitantDigital @MaximAccion35AP Por el pas de oportunidades #VotaTodoS  ', SI
'@mfespinosaEC @unasur @OEAoficial El gobierno de MoreNO  es tan incapaz que est propiciando la muerte de UNASUR., ', NO
'@mfespinosaEC te queda grande hablar del espritu de montecristiEloy Alfarotraidora, ', NO
'@MilitanciaQuito @SuperEcua @Lenin Yo votar 7 veces no...  ', NO
'@mperezf11 Noooooooooooooo yaaaa nooo, ', NO
'@navasveracesar Entonces #TodoS, ', SI
'@NoMoreNoNo1 @eltelegrafo @EcuadorTV @tctelevision @Gamavisionecu La ventaja que casi nadie ve a ese canal pereza  ', NO
'@NoNegligencia @AmbienteEc @MauricioRodasEC Es la lucha con uno mismo de hacer lo que consideramos correcto para t  ', NO
'@NoNegligencia @BomberosQuito Estos son los #idiotasalvolante que hay  todos los das en #Quito que manejan como le  ', NO
'@PaolaCabezasC Descaro el suyo... Pero si fueran de @35AlianzaPais ah si fueran hroes... Nooooo... Entiendan el p  ', NO
'@PaolaPabonC Todo Noooo..., ', NO
'@Polificcion La nica forma de eliminar a los dictadores es con nuestro puo y letra... por eso #7VecesSi, ', SI
